Ticker,YearMonth,DailyReturn,Return_7d,Return_14d,Return_30d,Volatility_14d,Volatility_30d,DownsideVol_30d,Sharpe_30d,MA_Spread,RSI_14,Volume_norm,BB_Position,MACD_Signal,Volume_Surge,Momentum_Accel,ATR_norm,Position_52w,Return_12m_skip1,Vol_Regime,MeanRev_Z,ESG_Score,Forward_Return,Regime,ESG_Risk_Label,Anomaly_Score,Anomaly_Raw
LITE,2025-02,0.0101982053499345,-0.0900504463970631,-0.1812572691297739,-0.2044117577253013,0.0249999800146339,0.0538628074092203,0.0428371122154983,-1.7836497294173366,-0.146815348594897,36.11913618365574,0.003965487651898,0.1680170868467425,-0.9250313047570008,0.9572528808000348,0.1143613113282381,0.0629715061305924,0.5000000634641825,0.6100434933829704,1.3804156215070795,-2.015748348106758,973.0,-0.1136073008736757,current,1,-1,-0.5553780205278449
LITE,2025-04,-0.0153435320712597,0.1791492166042565,-0.0128741086788793,-0.1038250853529862,0.0429528031378552,0.0685084581266896,0.0420943635598661,-0.3133994087195909,0.0020593507941113,50.88728069563837,-0.0273636631405319,0.7125004502335882,1.4100367036088324,0.5400649271203966,0.2829743019572428,0.0592431208015997,0.3121464660934447,0.4357439608823952,1.5086211495871114,-0.6284266877270323,902.0,0.2242547028871648,current,1,-1,-0.5537661854171664
LITE,2025-11,0.0547554332089419,0.3141495101128717,0.3542126643436907,0.9920358523127166,0.0803276372060291,0.0743521709751622,0.0331165681976188,5.510402956093699,0.4345884989527565,71.67777622778775,-0.0483238176665828,1.0282410615844697,5.973580438967694,0.378461503961857,-0.6778863421998449,0.0852650527086326,0.9999999999963716,1.4573395215424538,2.183708181817631,2.8472849720730853,1067.0,0.1335649901176394,current,1,-1,-0.7036086285924501
LITE,2025-12,-0.0069777369173907,-0.0076461147292691,0.007076492726477,0.5226586738778263,0.0550874558833238,0.0634457912515655,0.0347677120853474,4.017771449767699,0.1131647467060583,59.86462346660845,-0.0582114630059783,0.6273007404159661,-2.450663730835803,0.4508451580078013,-0.5303047886070954,0.0627255207859315,0.9210936131782184,2.768729141483304,1.525846694977106,1.328749200275399,1353.0,0.0630782176157771,current,0,-1,-0.5896944792255828
LITE,2026-01,0.0272650844953838,0.0811168571306841,0.1150190124799712,0.2394116840191655,0.0578660984523074,0.0572206678869712,0.0294101145953572,2.427362820304401,0.0771749936109593,58.78138645415914,0.0449041856381377,0.8497551873693638,2.312962449683313,1.564291113104144,-0.1582948268884814,0.0860232599513523,0.983959015415792,3.764214802062708,1.2081640522799075,1.2304305553509214,962.0,0.5,current,1,-1,-0.5663574220796032
LITE,2026-02,0.0353175378796621,0.1794668354361734,0.2697874699628608,1.1135938226428248,0.0400628726541796,0.0475326515339783,0.0179968835734043,8.79313759483639,0.388553698825667,73.72051746167674,0.0382271372860294,0.8132287813082627,7.604875255311541,1.5225134575074182,-0.9341269872066512,0.0724843465517939,0.9666384087054704,4.310344827586207,0.9104247345080566,2.2221982104869387,882.0,0.002639478238259,current,1,-1,-0.645697797181062
LLY,2020-03,0.0020224897650635,0.1333328392669042,-0.0092845460050772,-0.0162401698012957,0.0692412071223684,0.0518491852213844,0.0277438800645432,0.2261736296783295,0.0312730218898564,53.73477905505476,0.0159192599537819,0.6421590047568614,0.7955338469439397,1.111893871427941,0.1495730090681999,0.0764282977747129,0.8105708805593046,0.0523593657118819,3.34226591593458,0.2336191119747575,662.0,0.114763118495716,COVID crash,2,-1,-0.5976559914258157
LMT,2020-03,-0.0283787834770067,0.1638965810048489,-0.0503738422118408,-0.2169017850497299,0.0797330111687213,0.0596417703592675,0.0358440171017175,-1.699614922274142,-0.0502776282518608,47.63575900360991,-0.0033702516581543,0.527489975386553,5.43910791263944,0.7846804108422119,0.3807983660545788,0.0876783180088038,0.3876978112542364,0.2844055786006592,4.021003923818455,-1.1183367798601545,887.0,0.147839007932627,COVID crash,1,-1,-0.6385980499277298
LMT,2026-01,0.0188109603504289,0.0818620538578978,0.1681647245068354,0.3294344712134756,0.0151334085207464,0.0197303690440319,0.0093293269143952,7.824072628077065,0.1800466343574429,80.88166632323967,0.0162272315001849,0.9343676169542974,3.871977596695217,0.9298494242692644,-0.2475724173555777,0.0283137285401999,0.9999999999956204,0.1056983990158997,1.4032768702837783,2.5175513302571755,746.0,0.0376210324783281,current,2,-1,-0.5549986145130402
LNT,2020-02,-0.0515014355157574,-0.1235916486567373,-0.1064633004882978,-0.0675898167141162,0.0195387992467418,0.0149636363314365,0.0129385270007247,-2.3541404014422143,-0.1050839481583055,20.37512780032327,0.0595585401255486,-0.3576536939942353,-0.6698508203985378,2.1566314218028952,-0.056001831942621,0.0223659937607313,0.4827521590606844,0.3159413613728488,1.8707509797115336,-1.4390800934342731,825.0,-0.0734842044488088,COVID crash,2,-1,-0.5538650616178595
